HD_2020,precinct_2020,act_20_D_votes,tdp_20_est_D_votes,dnc_20_est_D_votes
34,954754,408,349.0,375.0
34,954756,1377,1403.0,1395.0
34,954758,548,569.0,528.0
34,954760,261,227.0,246.0
34,954762,563,555.0,577.0
34,954763,260,294.0,303.0
34,954764,233,144.0,154.0
34,954765,479,440.0,501.0
34,954766,430,357.0,379.0
34,954767,81,95.0,101.0
34,954768,253,247.0,289.0
34,954769,216,249.0,266.0
34,954774,93,101.0,99.0
34,954775,144,140.0,155.0
34,954776,440,523.0,509.0
34,954777,261,232.0,272.0
34,954778,112,115.0,125.0
34,954780,216,198.0,236.0
34,954781,36,47.0,46.0
34,954782,1113,1170.0,1171.0
34,954787,154,135.0,156.0
34,954788,331,287.0,319.0
34,954789,307,274.0,295.0
34,954790,538,484.0,525.0
34,954794,99,104.0,114.0
34,954796,208,191.0,197.0
34,954797,270,244.0,271.0
34,954798,151,130.0,152.0
34,954799,82,74.0,86.0
34,954800,101,95.0,107.0
34,954801,534,520.0,527.0
34,954802,257,270.0,271.0
34,954804,615,582.0,639.0
34,954805,335,305.0,324.0
34,954806,272,253.0,259.0
34,954807,679,605.0,628.0
34,954808,476,400.0,426.0
34,954809,299,268.0,298.0
34,954813,356,322.0,336.0
34,954814,268,237.0,253.0
34,954822,685,644.0,701.0
34,954824,555,524.0,545.0
34,954825,552,506.0,541.0
34,954826,513,480.0,518.0
34,954827,578,543.0,569.0
34,954828,699,651.0,700.0
34,954829,219,192.0,204.0
34,954830,102,86.0,92.0
34,954831,600,574.0,598.0
34,954832,357,322.0,352.0
34,954833,561,510.0,541.0
34,954835,161,141.0,159.0
34,954836,350,313.0,344.0
34,954840,504,493.0,538.0
34,954847,712,681.0,728.0
34,954848,296,272.0,293.0
34,954849,326,323.0,325.0
34,954850,416,359.0,404.0
34,954851,670,608.0,638.0
34,954852,179,156.0,172.0
34,954853,390,361.0,387.0
34,954854,991,965.0,1030.0
34,954855,458,471.0,494.0
34,954856,811,789.0,834.0
34,954857,318,266.0,295.0
34,954858,441,365.0,404.0
34,954859,794,819.0,809.0
34,954860,1115,1238.0,1193.0
34,954861,247,222.0,260.0
34,954863,391,387.0,423.0
34,954864,303,304.0,308.0
34,954865,788,797.0,773.0
34,954866,170,154.0,170.0
34,954869,1494,1481.0,1582.0
34,954874,544,518.0,552.0
34,954876,574,580.0,608.0
52,1239934,595,2565.0,2602.0
52,1239935,,1182.0,1206.0
52,1710280,,1222.0,1256.0
52,1710281,,1610.0,1472.0
52,1710285,,1524.0,1455.0
52,1710286,,1999.0,1916.0
52,1710287,,1256.0,1260.0
52,1710291,924,1751.0,1773.0
52,1710291,544,1751.0,1773.0
52,1941657,1233,2021.0,1864.0
52,1941658,1614,919.0,932.0
52,956793,1359,1364.0,1305.0
52,956794,,1162.0,1060.0
52,956795,1269,1335.0,1357.0
52,956797,,1577.0,1465.0
52,956801,1070,1091.0,1156.0
52,956802,1650,1055.0,1068.0
52,956808,,941.0,859.0
52,956849,738,1694.0,1543.0
52,956857,1012,2252.0,2185.0
52,956870,,173.0,187.0
52,956872,1174,3481.0,3372.0
52,956874,,1439.0,1477.0
52,956875,1276,1418.0,1257.0
52,956877,320,714.0,693.0
52,956878,756,836.0,836.0
52,956879,740,959.0,958.0
52,956880,750,582.0,604.0
52,956885,,1060.0,1073.0
52,956886,566,598.0,613.0
52,956887,,2512.0,2535.0
52,956888,,2396.0,2422.0
52,956889,1293,2653.0,2589.0
52,956890,1108,1257.0,1156.0
52,956891,1511,2416.0,2451.0
54,1708728,,59.0,66.0
54,1708729,,2061.0,2362.0
54,1708730,,2981.0,3436.0
54,949013,,1616.0,1783.0
54,949014,,995.0,1094.0
54,949015,,1913.0,1925.0
54,949016,,1636.0,1703.0
54,949017,,773.0,893.0
54,949018,,1570.0,1769.0
54,949019,,677.0,779.0
54,949020,,1223.0,1398.0
54,949021,,2487.0,2812.0
54,949022,,2771.0,2991.0
54,949023,,2513.0,2801.0
54,949041,,283.0,288.0
54,949042,,678.0,689.0
54,949044,,1536.0,1694.0
54,949045,,1970.0,2368.0
54,949048,,2201.0,2587.0
54,949049,,636.0,712.0
54,954011,374,453.0,464.0
54,954012,357,660.0,639.0
54,954013,260,393.0,404.0
