sos_precinct_id,party,HD,total,pct,eday,mail,early
BEXAR 1011,1011 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,138,30.40%,44,6,88
,Kristian Carranza,,316,69.60%,66,25,225
BEXAR 1046,1046 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,314,32.98%,91,3,220
,Kristian Carranza,,638,67.02%,147,44,447
BEXAR 1047,1047 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,233,33.77%,73,5,155
,Kristian Carranza,,457,66.23%,122,27,308
BEXAR 1048,1048 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,405,38.10%,101,8,296
,Kristian Carranza,,658,61.90%,173,28,457
BEXAR 1049,1049 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,406,37.18%,99,9,298
,Kristian Carranza,,686,62.82%,162,44,480
BEXAR 1050,1050 BS 18,118,,,,,
,,,,,,,
,John Lujan III,,132,33.59%,30,5,97
,Kristian Carranza,,261,66.41%,49,21,191
BEXAR 1051,1051 BS 18,118,,,,,
,,,,,,,
,John Lujan III,,354,37.78%,67,11,276
,Kristian Carranza,,583,62.22%,130,29,424
BEXAR 1052,1052 BS 18,118,,,,,
,,,,,,,
,John Lujan III,,405,39.28%,81,14,310
,Kristian Carranza,,626,60.72%,126,35,465
BEXAR 1054,1054 BS 18,118,,,,,
,,,,,,,
,John Lujan III,,517,35.39%,125,3,389
,Kristian Carranza,,944,64.61%,186,53,705
BEXAR 1056,1056 BS 18,118,,,,,
,,,,,,,
,John Lujan III,,1103,44.44%,318,6,779
,Kristian Carranza,,1379,55.56%,348,32,999
BEXAR 1057,1057 BS 19,118,,,,,
,,,,,,,
,John Lujan III,,745,56.27%,194,9,542
,Kristian Carranza,,579,43.73%,146,33,400
BEXAR 1058,1058 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,768,53.97%,159,8,601
,Kristian Carranza,,655,46.03%,163,15,477
BEXAR 1059,1059 BS 22,118,,,,,
,,,,,,,
,John Lujan III,,109,42.41%,16,0,93
,Kristian Carranza,,148,57.59%,39,5,104
BEXAR 1062,1062 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,129,55.60%,37,0,92
,Kristian Carranza,,103,44.40%,25,0,78
BEXAR 1063,1063 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,743,61.97%,134,12,597
,Kristian Carranza,,456,38.03%,88,15,353
BEXAR 1064,1064 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,328,54.04%,82,2,244
,Kristian Carranza,,279,45.96%,74,11,194
BEXAR 1065,1065 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,749,57.35%,156,9,584
,Kristian Carranza,,557,42.65%,123,21,413
BEXAR 1066,1066 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,201,51.80%,57,2,142
,Kristian Carranza,,187,48.20%,40,9,138
BEXAR 1067,1067 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,1137,60.35%,225,31,881
,Kristian Carranza,,747,39.65%,173,30,544
BEXAR 1068,1068 BS 23,118,,,,,
,,,,,,,
,John Lujan III,,1694,50.13%,518,26,1150
,Kristian Carranza,,1685,49.87%,442,46,1197
BEXAR 1081,1081 BS 23,118,,,,,
,,,,,,,
,John Lujan III,,1199,54.92%,196,153,850
,Kristian Carranza,,984,45.08%,158,146,680
BEXAR 1089,1089 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,5,19.23%,1,0,4
,Kristian Carranza,,21,80.77%,7,1,13
BEXAR 1102,1102 BS 19,118,,,,,
,,,,,,,
,John Lujan III,,392,56.24%,104,5,283
,Kristian Carranza,,305,43.76%,65,9,231
BEXAR 1105,1105 BS 22,118,,,,,
,,,,,,,
,John Lujan III,,264,40.68%,60,3,201
,Kristian Carranza,,385,59.32%,86,6,293
BEXAR 1107,1107 BS 19,118,,,,,
,,,,,,,
,John Lujan III,,898,52.64%,201,9,688
,Kristian Carranza,,808,47.36%,184,17,607
BEXAR 1114,1114 BS 22,118,,,,,
,,,,,,,
,John Lujan III,,166,46.11%,45,1,120
,Kristian Carranza,,194,53.89%,54,3,137
BEXAR 1115,1115 BS 18,118,,,,,
,,,,,,,
,John Lujan III,,188,36.08%,39,3,146
,Kristian Carranza,,333,63.92%,80,14,239
BEXAR 1123,1123 BS 21,118,,,,,
,,,,,,,
,John Lujan III,,204,62.39%,34,2,168
,Kristian Carranza,,123,37.61%,21,6,96
BEXAR 1124,1124 BS 6,118,,,,,
,,,,,,,
,John Lujan III,,28,26.17%,5,3,20
,Kristian Carranza,,79,73.83%,27,6,46
BEXAR 1146,1146 BS 22,,,,,,
BEXAR 1146,1146 BS 22,118,,,,,
,,,,,,,
,John Lujan III,,70,49.65%,12,4,54
,Kristian Carranza,,71,50.35%,14,3,54
BEXAR 3001,3001 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1250,51.63%,237,105,908
,Laurel Jordan Swift,,1171,48.37%,181,135,855
BEXAR 3007,3007 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,1185,52.55%,246,49,890
,Laurel Jordan Swift,,1070,47.45%,195,61,814
BEXAR 3016,3016 BS 66,121,,,,,
,,,,,,,
,Marc LaHood,,0,,,,
,Laurel Jordan Swift,,0,,,,
BEXAR 3018,3018 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,668,47.71%,116,23,529
,Laurel Jordan Swift,,732,52.29%,88,52,592
BEXAR 3020,3020 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,757,40.94%,98,49,610
,Laurel Jordan Swift,,1092,59.06%,98,129,865
BEXAR 3021,3021 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,1097,60.18%,113,45,939
,Laurel Jordan Swift,,726,39.82%,57,49,620
BEXAR 3022,3022 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,561,45.32%,76,35,450
,Laurel Jordan Swift,,677,54.68%,74,53,550
BEXAR 3023,3023 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,33,66.00%,5,0,28
,Laurel Jordan Swift,,17,34.00%,1,3,13
BEXAR 3025,3025 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,608,47.10%,81,18,509
,Laurel Jordan Swift,,683,52.90%,86,53,544
BEXAR 3026,3026 BS 67,121,,,,,
,,,,,,,
,Marc LaHood,,518,46.79%,72,16,430
,Laurel Jordan Swift,,589,53.21%,58,44,487
BEXAR 3027,3027 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,487,46.83%,53,22,412
,Laurel Jordan Swift,,553,53.17%,64,43,446
BEXAR 3028,3028 BS 70,118,,,,,
,,,,,,,
,John Lujan III,,712,50.42%,97,12,603
,Kristian Carranza,,700,49.58%,106,45,549
BEXAR 3039,3039 BS 73,121,,,,,
,,,,,,,
,Marc LaHood,,1888,62.75%,324,65,1499
,Laurel Jordan Swift,,1121,37.25%,201,59,861
BEXAR 3040,3040 BS 57,121,,,,,
,,,,,,,
,Marc LaHood,,721,49.55%,119,34,568
,Laurel Jordan Swift,,734,50.45%,92,52,590
BEXAR 3046,3046 BS 57,121,,,,,
