HD,van_precinct_id,survey_question_name,survey_question_text,survey_response_name,response_count
34,954859,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,2
34,954763,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Against Abortion,1
34,954819,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
34,954774,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Against Abortion,1
34,954861,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Against Abortion,1
34,954812,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
34,954846,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Animal Rights,1
34,954833,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Immigration,1
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,14
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,11
52,956891,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,10
52,1710284,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,9
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,7
52,956878,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,7
52,1941657,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,7
52,2047273,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,6
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,AffordableHealthCare,5
52,956886,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,5
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,5
52,1941657,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,4
52,956872,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,4
52,2046692,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,4
52,956878,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,4
52,956857,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,4
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Economy/Job Creation,3
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,3
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Infrastructure,3
52,1710284,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,3
52,956880,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,3
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Taxes,3
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,3
52,1710284,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Economy/Job Creation,3
52,956891,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Social Security,2
52,2046937,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,2
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,2
52,1710284,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Climate Change,2
52,1710284,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Increase Teacher Pay,2
52,2047264,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,2
52,956876,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,2
52,1941657,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
52,1239934,XCmty Issue - Econ,What ECONOMIC issues are most important to you as a voter this year?,Wall Street Reform,1
52,956891,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,1
52,956851,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,956876,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Affordable Housing,1
52,956891,XCmty Issue - Edu.,What EDUCATION issues are most important to you as a voter this year?,Vouchers,1
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Taxes,1
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Stop Gun Violence,1
52,956879,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Medicare/Medicaid,1
52,956857,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
52,2046692,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,956879,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Local Issue/Safety,1
52,956878,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,LGBTQIA+ Rights,1
52,2047001,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,956857,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Economy/Job Creation,1
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Black Lives Matter,1
52,1710290,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,1
52,1941657,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Immigration,1
52,2047001,XCmty Issue - Econ,What ECONOMIC issues are most important to you as a voter this year?,Other,1
52,1941657,XCmty Issue - Edu.,What EDUCATION issues are most important to you as a voter this year?,Other,1
52,956880,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Black Lives Matter,1
52,1941657,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Economy/Job Creation,1
52,956886,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,2046796,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Increase Teacher Pay,1
52,956871,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,1
52,2046538,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Stop Gun Violence,1
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Affordable Housing,1
52,956879,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,956873,IssuesLSP,"For this election, what do you think Democrats should prioritize? What is your most important issue?",Economy,1
52,2046692,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Stop Gun Violence,1
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Economy/Job Creation,1
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Voting Rights,1
52,1710284,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
52,956878,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,AffordableHealthCare,1
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,LGBTQIA+ Rights,1
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,AffordableHealthCare,1
52,2343762,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Pro-Gaza,1
52,956879,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,1
52,956876,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
52,956881,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Infrastructure,1
52,1941657,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Taxes,1
52,956871,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Disability Rights,1
52,956886,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Medicare/Medicaid,1
52,2047141,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,1
52,2047264,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Pro-Gaza,1
52,956871,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,LGBTQIA+ Rights,1
52,2047264,XCmty Issue - Edu.,What EDUCATION issues are most important to you as a voter this year?,Vouchers,1
52,2046796,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,1
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Climate Change,1
52,2047089,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Infrastructure,1
52,956851,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,1
52,956891,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Local Issue/Safety,1
52,956875,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,VA Reform,1
52,1239934,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,1
54,949019,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,7
54,949019,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Vouchers,2
54,949048,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,2
54,949041,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
54,949018,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Vouchers,1
54,949008,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
54,949045,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Vouchers,1
54,1708730,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
54,949018,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
54,949046,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Fund Public Schools,1
54,949048,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,1
70,950374,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,51
70,950373,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,33
70,950259,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,32
70,950342,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,30
70,950271,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,29
70,950304,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,26
70,950342,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,24
70,950281,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,24
70,950370,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Abortion Access,20
70,1239870,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Education,19
70,950304,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,19
70,950290,XCmty Issues Pref,What issues are of particular importance to you as a voter this year?,Trump,18
