HD_2022,precinct_2022,act_22_D_votes,tdp_22_est_D_votes,dnc_22_est_D_votes
34,1991504,,2,1
34,954754,245,240,238
34,954756,,,1
34,954757,588,595,585
34,954758,,,0
34,954760,143,133,130
34,954762,345,323,335
34,954763,170,177,180
34,954764,151,163,168
34,954765,330,342,327
34,954766,258,246,244
34,954767,51,58,66
34,954768,143,140,147
34,954773,791,786,759
34,954774,67,68,68
34,954775,78,82,77
34,954776,304,305,309
34,954777,143,138,135
34,954778,67,73,78
34,954780,112,113,107
34,954781,23,20,27
34,954783,17,17,16
34,954784,89,87,86
34,954786,90,85,84
34,954787,111,104,100
34,954788,218,194,189
34,954789,164,176,165
34,954790,343,311,303
34,954791,26,26,28
34,954792,113,110,108
34,954794,54,53,54
34,954796,111,116,114
34,954797,129,137,134
34,954798,63,65,62
34,954799,39,39,38
34,954800,53,54,54
34,954801,344,341,334
34,954802,171,168,192
34,954803,139,136,131
34,954804,331,339,331
34,954805,208,206,201
34,954806,183,175,173
34,954807,439,413,409
34,954808,304,279,280
34,954809,167,159,160
34,954810,160,151,156
34,954811,353,344,350
34,954812,417,396,401
34,954813,171,171,169
34,954814,150,134,130
34,954815,153,149,146
34,954819,328,329,331
34,954821,224,227,224
34,954822,435,448,459
34,954824,336,335,339
34,954825,348,332,335
34,954826,318,308,307
34,954827,333,334,329
34,954828,391,405,397
34,954829,101,99,98
34,954830,54,52,49
34,954831,353,353,350
34,954832,216,214,215
34,954833,296,300,293
34,954835,70,79,77
34,954836,195,197,191
34,954838,101,100,94
34,954840,341,344,368
34,954846,590,604,600
34,954847,467,446,442
34,954848,200,195,191
34,954849,197,196,196
34,954850,223,229,221
34,954851,442,428,427
34,954852,98,98,98
34,954853,255,232,230
34,954854,648,601,616
34,954855,317,298,308
34,954856,558,541,559
34,954857,171,165,163
34,954858,238,228,222
34,954859,534,538,534
34,954860,788,718,745
34,954861,150,140,138
34,954863,247,215,229
34,954864,187,171,177
34,954865,584,555,548
34,954866,98,100,97
34,954867,90,97,98
34,954871,617,598,593
34,954874,371,354,354
34,954876,402,368,379
52,1239934,1107,1196,1181
52,1239935,767,769,748
52,1710281,296,324,317
52,1710284,960,1029,1015
52,1710285,155,162,156
52,1710289,412,471,470
52,1710290,570,604,631
52,1710291,,,0
52,1941654,136,153,144
52,1941657,1026,1052,1023
52,1941658,1197,1310,1268
52,2046538,317,342,351
52,2046692,634,665,645
52,2046700,113,116,115
52,2046733,1149,1250,1203
52,2046796,123,166,158
52,2046807,296,318,313
52,2046836,169,178,183
52,2046912,487,536,517
52,2046937,364,439,441
52,2046973,950,994,971
52,2046984,282,328,350
52,2047001,1216,1301,1281
52,2047089,30,34,36
52,2047141,733,845,869
52,2047148,1246,1295,1252
52,2047183,102,85,83
52,2047264,1382,1433,1393
52,2047273,1469,1550,1545
52,2047326,548,688,683
52,2047337,298,310,295
52,2047416,52,63,65
52,2047491,480,524,518
52,956793,,,1
52,956795,,,
52,956797,,,0
52,956801,,,0
52,956802,,,0
52,956821,1083,1275,1275
52,956825,550,578,556
52,956839,217,216,208
52,956844,10,18,19
52,956848,194,199,198
52,956849,621,700,678
52,956851,984,1026,1013
52,956852,287,323,315
52,956857,995,1083,1073
52,956870,400,514,548
52,956871,239,312,324
52,956872,920,977,939
52,956873,316,292,278
52,956874,,,1
52,956875,1058,1144,1122
52,956876,80,106,108
52,956877,246,276,269
52,956878,594,667,682
52,956879,598,695,716
52,956880,502,565,568
52,956881,1489,1557,1540
52,956882,113,173,195
52,956883,170,228,234
52,956885,,,0
52,956886,437,503,499
52,956887,,,1
52,956888,,,1
52,956889,1014,1059,1018
52,956890,898,966,932
52,956891,1175,1242,1214
54,1708729,766,809,778
54,1708730,766,828,814
54,2046565,431,585,654
54,2046776,496,543,532
54,2047076,784,809,787
54,2047121,98,153,148
54,2047505,639,730,768
54,949006,425,554,593
54,949007,133,177,202
54,949008,786,815,774
54,949009,60,79,81
54,949010,101,163,180
54,949011,473,485,474
54,949012,118,134,133
54,949013,,,0
54,949015,,,0
54,949016,419,571,589
54,949017,259,269,266
54,949018,913,975,961
54,949019,624,665,654
54,949020,572,626,621
54,949021,,,1
54,949024,307,421,466
54,949027,30,35,40
54,949032,106,151,158
54,949033,32,45,50
54,949034,260,354,373
54,949035,146,209,228
54,949041,581,629,615
54,949042,951,1013,979
54,949044,585,668,656
54,949045,928,985,959
54,949046,407,469,462
54,949048,1014,1077,1059
54,949050,321,375,375
54,949941,,0,1
70,1239867,571,590,621
70,1239870,1438,1568,1580
