HD,year,act_D_votes,tdp_est_D_votes,dnc_est_D_votes,percent_error_tdp,percent_error_dnc,point_difference
34,2020,32720,33858,29937,3.47799511,8.505501222,5.027506112
34,2022,22231,21716,21704,2.316584949,2.370563627,0.053978678
34,2024,22955,29661,29961,29.21367894,30.52058375,1.306904814
52,2020,49187,52483,48011,6.70095757,2.390875638,-4.310081932
52,2022,34256,37227,36750,8.672933209,7.280476413,-1.392456796
52,2024,48737,47330,51617,2.886923692,5.909268113,3.02234442
54,2020,33918,35858,34070,5.719676868,0.448139631,-5.271537237
54,2022,14531,16399,16432,12.85527493,13.08237561,0.227100681
54,2024,21927,20965,22883,4.387285082,4.359921558,-0.027363524
70,2020,47343,51952,48467,9.735335741,2.374163023,-7.361172718
70,2022,29660,31693,32281,6.854349292,8.836817262,1.98246797
70,2024,37839,39422,40612,4.183514363,7.32841777,3.144903407
74,2020,26634,33805,31092,26.92423218,16.73800405,-10.18622813
74,2022,21100,24306,24766,15.1943128,17.37440758,2.180094787
74,2024,28149,30315,31647,7.694767132,12.42672919,4.731962059
94,2020,34750,36663,33662,5.505035971,3.130935252,-2.374100719
94,2022,26879,27364,27448,1.804382604,2.11689423,0.312511626
94,2024,34840,33176,34948,4.776119403,0.309988519,-4.466130884
96,2020,40550,44500,41932,9.741060419,3.408138101,-6.332922318
96,2024,36151,33942,35797,6.110481038,0.979226024,-5.131255014
112,2020,33537,37863,35045,12.89918597,4.496526225,-8.402659749
112,2022,30946,33336,32950,7.723130615,6.475796549,-1.247334066
112,2024,40148,42856,44118,6.74504334,9.888412872,3.143369533
118,2020,33221,35833,33188,7.862496614,0.099334758,-7.763161855
118,2022,24488,26990,26818,10.21724926,9.514864423,-0.702384842
118,2024,36461,39716,42449,8.927347028,16.42302734,7.495680316
121,2020,43863,47788,44236,8.948316349,0.850375031,-8.097941317
121,2022,34721,37191,37202,7.113850408,7.145531523,0.031681115
121,2024,45816,45614,48937,0.440894011,6.812030732,6.371136721
138,2020,30982,36621,33710,18.20089084,8.805112646,-9.395778194
138,2022,24353,26580,26941,9.144663902,10.62702747,1.482363569
138,2024,31418,33322,34614,6.060220256,10.17251257,4.112292317
